s11,s22,s12,r_calc,theta_deg,phi_deg,theta_rad,phi_rad
0.1333325,-0.4462349,0.8849276,0.99999994,286.63583,27.757381,5.0027394,0.48445773
0.30514884,-0.77192694,0.5576854,1.0,291.56927,56.104122,5.0888443,0.97920173
-0.17825663,-0.95564973,-0.23443158,1.0,259.43405,103.55811,4.527979,1.8074301
0.067932226,-0.2129644,0.9746955,0.99999994,287.69183,12.916832,5.02117,0.22544126
-0.66619295,0.6819812,-0.30180892,1.0,134.32906,107.56628,2.3444843,1.8773859
0.70561004,0.6730494,0.22162805,1.0,43.64706,77.19533,0.761785,1.3473127
0.20727396,-0.10545654,-0.97258234,1.0,333.03397,166.55223,5.8125396,2.906885
0.3826847,0.847324,0.36823145,1.0,65.6942,68.39341,1.1465801,1.1936903
0.90557784,0.07014997,-0.41833928,1.0,4.4295325,114.72978,0.07730993,2.0024126
0.37374818,-0.924059,0.08017044,1.0,292.0215,85.401634,5.0967374,1.4905398
-0.83453315,0.44162357,-0.32942834,1.0,152.11281,109.23408,2.6548696,1.9064944
0.79182607,-0.15417798,0.5909658,1.0,348.9817,53.774426,6.09088,0.9385408
0.40959385,0.84571916,0.34204096,1.0,64.15843,69.99873,1.1197759,1.2217084
0.84347975,-0.41585064,0.34001487,1.0,333.75586,70.122215,5.825139,1.2238636
-0.55760276,0.7922774,0.24774115,1.0,125.13777,75.65611,2.1840663,1.3204484
0.38972035,0.25524443,-0.884855,1.0,33.222492,152.23367,0.5798419,2.656979
0.21364883,-0.2541363,0.94327563,1.0,310.05328,19.390858,5.411451,0.33843434
-0.14556128,0.9241288,0.35326752,1.0,98.95122,69.31269,1.7270247,1.2097348
0.96048045,0.03569147,0.2760497,1.0,2.1281328,73.97542,0.037142925,1.2911147
0.9857882,0.11225656,-0.12498034,1.0,6.496567,97.17962,0.11338649,1.6961044
-0.22152829,-0.34375244,0.9125565,1.0,237.20059,24.138927,4.1399317,0.42130378
0.87334484,0.43499044,-0.21920797,1.0,26.476704,102.66251,0.4621057,1.791799
0.55206937,-0.3970091,0.73321426,0.99999994,324.279,42.843456,5.659736,0.7477594
-0.725534,0.62444556,-0.28925455,1.0,139.2824,106.813324,2.4309366,1.8642443
-0.028667165,0.42748857,-0.9035661,1.0,93.83648,154.63084,1.6377556,2.6988175
-0.19907095,-0.76563627,-0.6116959,0.99999994,255.4254,127.712234,4.4580145,2.2289991
-0.68904275,0.40171403,0.60319644,1.0,149.75768,52.90083,2.6137648,0.9232937
0.7339303,-0.28500566,0.61653715,0.99999994,338.7774,51.9363,5.9127817,0.90645945
-0.4930898,0.8573094,0.14792915,0.99999994,119.90577,81.49306,2.0927505,1.4223223
0.6793614,0.6841893,0.2652416,1.0,45.202866,74.61869,0.7889389,1.3023419
0.5311152,-0.3778969,-0.75836045,0.99999994,324.56754,139.31987,5.6647725,2.4315906
-0.39419043,-0.9188304,0.019094175,1.0,246.78001,88.905914,4.307124,1.5517011
-0.34576735,0.7543987,0.55796736,1.0,114.62364,56.084656,2.00056,0.9788619
0.6829414,-0.47570574,-0.5543421,1.0,325.1407,123.665405,5.674776,2.1583686
-0.45307696,-0.43795463,-0.7764773,0.99999994,224.02768,140.93916,3.9100208,2.4598527
-0.30671543,0.8079819,-0.5030814,1.0,110.787094,120.20407,1.9335997,2.097957
0.13403428,0.2963486,-0.945628,1.0,65.66344,161.01926,1.1460432,2.8103163
-0.35073897,-0.76842266,-0.53526515,1.0,245.46614,122.36189,4.2841926,2.135618
0.3166951,-0.057133995,0.9468051,1.0,349.7734,18.77227,6.104698,0.32763794
0.84460646,0.3794678,-0.37768257,1.0,24.193598,112.19021,0.42225796,1.9580886
-0.26631925,-0.9591582,0.09533944,0.99999994,254.48218,84.52914,4.441552,1.4753119
0.59807366,0.3423453,0.72464305,0.99999994,29.787392,43.56083,0.5198881,0.76027995
-0.10695978,-0.7719933,-0.6265668,1.0,262.11188,128.79729,4.5747156,2.2479367
-0.22864321,0.8051724,0.5471925,0.99999994,105.852844,56.825375,1.8474808,0.99178994
-0.28974092,-0.43766704,-0.85117435,1.0,236.49496,148.33963,4.127616,2.589015
0.5106677,-0.1399544,-0.8483108,1.0,344.67374,148.02841,6.0156918,2.5835834
-0.58106977,0.72525114,0.36928144,1.0,128.70163,68.32869,2.2462673,1.1925607
-0.5766734,0.8087431,-0.115682185,1.0,125.490715,96.64297,2.1902263,1.6867381
-0.7119619,0.13855262,-0.6884137,1.0,168.98749,133.50465,2.9493883,2.330096
0.35442635,-0.5614236,0.74778706,1.0,302.2642,41.60095,5.2755055,0.72607356
0.03256958,-0.9993939,-0.012293703,1.0,271.86658,90.70439,4.744967,1.5830904
0.3475633,0.93747365,-0.018517008,1.0,69.658005,91.061005,1.2157617,1.5893145
0.57567096,-0.6606378,0.48183048,0.99999994,311.06845,61.19498,5.4291687,1.068054
0.7940634,-0.47929606,-0.37381625,1.0,328.88486,111.951164,5.7401237,1.9539165
0.123688705,0.94374263,-0.30667734,1.0,82.533264,107.8591,1.4404773,1.8824966
0.68205637,0.72611606,-0.08691732,1.0,46.792118,94.98629,0.81667656,1.6578236
0.6601497,0.38015932,-0.6478281,1.0,29.936277,130.37805,0.5224866,2.2755263
-0.5925564,0.7465838,0.30247223,0.99999994,128.43869,72.393845,2.2416782,1.2635111
0.8720349,-0.07480435,0.48369354,1.0,355.09708,61.07309,6.1976137,1.0659266
0.9039282,0.42343372,0.060147062,1.0,25.100145,86.55174,0.4380802,1.510613
-0.770773,-0.44502276,0.4559208,1.0,210.00093,62.8758,3.6652079,1.0973898
0.6619355,0.21619916,-0.71770424,1.0,18.087898,135.86526,0.3156934,2.3712964
-0.16370058,0.11071606,-0.98027754,1.0,145.92822,168.60184,2.5469282,2.9426575
0.22110496,0.9615253,0.16303883,1.0,77.04983,80.61667,1.3447733,1.4070264
0.0062529896,0.9853642,0.17034774,1.0,89.63641,80.19196,1.5644506,1.3996139
-0.36426148,-0.051136717,0.9298917,1.0,187.99123,21.58206,3.281066,0.37667802
-0.7233775,-0.4264596,-0.5430075,0.99999994,210.52103,122.8886,3.6742852,2.144811
0.48690552,-0.27914476,0.827648,1.0,330.17416,34.142117,5.7626266,0.59589237
-0.06917215,0.19596875,0.9781674,1.0,109.44177,11.994537,1.9101194,0.20934418
0.77369505,-0.5571262,-0.30167252,1.0,324.2429,107.55808,5.6591063,1.8772428
-0.16314776,-0.43783122,-0.8841304,1.0,249.56325,152.1447,4.3557005,2.655426
-0.56086326,0.53931504,0.6281494,1.0,136.12206,51.08628,2.3757782,0.89162385
0.5605512,0.82562894,0.06418127,1.0,55.82591,86.32015,0.974346,1.5065709
0.6895722,-0.5551526,-0.46507615,1.0,321.16357,117.71515,5.605362,2.054517
0.7920022,-0.51115865,0.3338403,1.0,327.16177,70.49796,5.7100506,1.2304217
-0.16642395,-0.80682266,0.5668688,0.99999994,258.345,55.467834,4.508971,0.9680964
-0.81904376,0.1618483,0.55042934,1.0,168.82199,56.60353,2.9464998,0.987918
0.275179,-0.66243446,0.6967475,0.99999994,292.55826,45.833363,5.1061053,0.79994315
0.64597857,-0.5618351,0.51677173,1.0,318.9851,58.88404,5.567341,1.0277205
-0.31318396,-0.24427982,0.9177381,1.0,217.95381,23.402386,3.8040118,0.4084487
-0.5443281,0.1841434,0.81841195,1.0,161.30959,35.07386,2.8153834,0.61215436
0.44701308,0.6899398,-0.56935257,1.0,57.060734,124.70508,0.9958977,2.1765144
-0.580183,-0.771954,-0.2597589,1.0,233.07233,105.05575,4.0678797,1.8335688
0.90379804,-0.42779034,0.012020739,0.99999994,334.67062,89.31124,5.8411045,1.5587753
0.12391524,0.8941744,0.43022925,1.0,82.11017,64.51789,1.4330928,1.1260496
0.39695466,0.5134557,-0.76078266,1.0,52.292248,139.53325,0.9126719,2.4353147
-0.108843654,-0.8954556,0.43163905,0.99999994,263.06964,64.428375,4.5914316,1.1244873
-0.57528925,0.788307,-0.21820709,1.0,126.12115,102.603745,2.2012293,1.7907733
-0.6995559,0.26622176,-0.66313463,1.0,159.16525,131.53938,2.777958,2.2957954
-0.81106734,0.32473963,-0.4865326,1.0,158.17955,119.11293,2.760754,2.078913
-0.6412053,0.44193968,0.62733173,1.0,145.42412,51.146465,2.5381298,0.89267427
0.4727707,-0.392758,-0.78881496,1.0,320.28162,142.07489,5.589969,2.4796748
-0.088727936,-0.9955221,0.032605402,0.99999994,264.90686,88.131516,4.623497,1.5381852
-0.57028306,-0.24570777,-0.7838398,0.99999994,203.3089,141.6135,3.54841,2.471622
0.88370556,0.4121838,0.22174077,0.99999994,25.005596,77.1887,0.43643,1.347197
-0.68559754,-0.68248934,-0.25330675,1.0,224.86981,104.67327,3.9247189,1.8268933
-0.38435003,-0.73098665,0.56385595,1.0,242.26477,55.677113,4.228318,0.971749
0.17615227,-0.5149516,-0.83892506,1.0,288.88455,147.02678,5.041987,2.5661016
0.04662761,0.019303445,0.99872583,1.0,22.489147,2.8926587,0.3925097,0.05048642
