s11,s22,s12,r_calc,theta_rad,theta_pi_coeff,phi_rad,phi_pi_coeff,se_target
1.0871595,0.31468043,-0.14279157,1.140758,0.28175178,0.089684375,1.6962981,0.53994846,1.0
0.62012637,-0.50490266,0.12571545,0.8094985,5.5998497,1.7824875,1.4148648,0.45036542,1.0
-0.30647677,0.5753039,0.36459118,0.7468797,2.0602772,0.6558066,1.0608248,0.33767098,1.0
-0.06454742,-0.7803501,-0.38177523,0.8711285,4.629861,1.4737304,2.0244513,0.6444028,1.0
-0.33312583,0.06615997,-0.5362246,0.6347336,2.9455402,0.93759453,2.5769925,0.82028216,1.0
-0.50756276,-0.32698223,0.51685804,0.7947827,3.7138941,1.1821692,0.8627991,0.2746375,1.0
0.88104886,0.9044422,0.25986853,1.2891061,0.79849935,0.25417024,1.3678173,0.43538976,1.0
0.285681,-0.6966893,-0.27927256,0.8031082,5.1015334,1.6238685,1.9259555,0.6130507,1.0
-0.030184744,0.9442998,-0.1621554,0.95859665,1.6027507,0.51017135,1.7407728,0.55410516,1.0
-0.51514405,-1.0976095,0.17823848,1.2255157,4.273575,1.360321,1.4248391,0.45354038,1.0
0.5906964,0.433103,0.48967063,0.88106626,0.632667,0.20138416,0.9815068,0.31242332,1.0
0.5036597,-0.118553385,-0.47348404,0.7013666,6.0520096,1.9264144,2.31188,0.73589426,1.0
0.32540268,0.92410076,-0.33707353,1.0360829,1.2322261,0.39222974,1.9021618,0.6054769,1.0
0.42562148,-0.48368537,0.3554471,0.7358314,5.4340186,1.7297018,1.0666559,0.3395271,1.0
-0.7237766,0.41597804,0.026042143,0.8352056,2.6199594,0.8339589,1.5396107,0.4900733,1.0
-1.0689797,-0.15661855,-0.007635523,1.0804191,3.2870698,1.0463067,1.5778636,0.50224954,1.0
-0.6732617,0.4692923,-0.0592363,0.8228156,2.532854,0.80623245,1.6428509,0.5229357,1.0
-1.0914907,-0.22767459,0.04209857,1.1157779,3.3472345,1.0654578,1.5330572,0.48798725,1.0
0.005830064,0.85796434,0.2993689,0.90871257,1.5640012,0.49783704,1.2350829,0.39313906,1.0
0.288368,-0.6540429,-0.3164736,0.78171843,5.1276503,1.6321818,1.987604,0.632674,1.0
0.71509624,0.3889074,-0.4529513,0.9315452,0.49811175,0.1585539,2.0785742,0.6616307,1.0
0.6197781,-0.074922055,0.43352303,0.7600529,6.1628838,1.9617068,0.9638214,0.30679387,1.0
-0.25499064,0.78787476,0.19436425,0.8506141,1.883801,0.59963244,1.340261,0.4266183,1.0
