epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
1,0.001,12.928372,12.805444,0.0,12.292904,0.0,0.0,149.10255
2,0.001,2.2664642,2.2522361,0.0,1.422808,0.0,0.0,27.837824
3,0.001,0.7795611,0.7789045,0.0,0.0656551,0.0,0.0,10.910563
4,0.001,0.38732597,0.38724366,0.0,0.00823102,0.0,0.0,6.342012
5,0.001,0.24331163,0.24257745,0.0,0.07341736,0.0,0.0,4.5637803
6,0.001,0.1609064,0.16014679,0.0,0.07596296,0.0,0.0,3.42363
7,0.001,0.12050853,0.119351625,0.0,0.115690865,0.0,0.0,2.870134
8,0.001,0.08823196,0.086661495,0.0,0.15704647,0.0,0.0,2.3453043
9,0.001,0.06717821,0.065690316,0.0,0.14878966,0.0,0.0,1.9803737
10,0.001,0.04979406,0.0484343,0.0,0.135976,0.0,0.0,1.6277603
11,0.001,0.039799083,0.038590632,0.0,0.12084507,0.0,0.0,1.3864564
12,0.001,0.031260636,0.03031118,0.0,0.09494591,0.0,0.0,1.1602572
13,0.001,0.02551035,0.024795102,0.0,0.071524896,0.0,0.0,0.9559748
14,0.001,0.020692773,0.020159064,0.0,0.053370934,0.0,0.0,0.7931226
15,0.001,0.017713208,0.01734102,0.0,0.037218798,0.0,0.0,0.67598534
16,0.001,0.014560152,0.014275909,0.0,0.02842422,0.0,0.0,0.5447721
17,0.001,0.013590243,0.013590243,0.0,2.827283e-12,0.0,0.0,0.4326507
18,0.001,0.011828818,0.011656742,0.0,0.017207777,0.0,0.0,0.39808676
19,0.001,0.01150981,0.011376429,0.0,0.0133379735,0.0,0.0,0.3434802
20,0.001,0.010141199,0.010044829,0.0,0.009636985,0.0,0.0,0.3170977
21,0.001,0.0098794205,0.009812076,0.0,0.0067344164,0.0,0.0,0.2724813
22,0.001,0.0098593775,0.009819109,0.0,0.0040268707,0.0,0.0,0.23157221
23,0.001,0.009630573,0.009611369,0.0,0.0019203498,0.0,0.0,0.16860323
24,0.001,0.009122141,0.009112537,0.0,0.0009603913,0.0,0.0,0.181997
25,0.001,0.009143462,0.009137888,0.0,0.0005574541,0.0,0.0,0.12642889
26,0.001,0.009220861,0.009217031,0.0,0.0003829827,0.0,0.0,0.17770077
27,0.001,0.008972928,0.008971665,0.0,0.0001262708,0.0,0.0,0.106967814
28,0.001,0.008976064,0.008975871,0.0,1.931775e-05,0.0,0.0,0.14328519
29,0.001,0.008931217,0.008931066,0.0,1.50668175e-05,0.0,0.0,0.14236598
30,0.001,0.008959957,0.008959957,0.0,1.3230165e-12,0.0,0.0,0.10055844
31,0.001,0.008982699,0.008982699,0.0,1.2685858e-12,0.0,0.0,0.12070342
32,0.001,0.008758894,0.008758894,0.0,1.0902445e-12,0.0,0.0,0.17010681
33,0.001,0.008745241,0.008745241,0.0,1.1595487e-12,0.0,0.0,0.1242597
34,0.001,0.008815722,0.008815722,0.0,1.798674e-12,0.0,0.0,0.1891513
35,0.001,0.008720023,0.008720023,0.0,1.108216e-12,0.0,0.0,0.12705806
36,0.001,0.008945517,0.008945517,0.0,1.9699975e-12,0.0,0.0,0.110565
37,0.001,0.0088985255,0.0088985255,0.0,1.3612658e-12,0.0,0.0,0.11283343
38,0.001,0.008862029,0.008862029,0.0,1.57414e-12,0.0,0.0,0.12873478
39,0.001,0.008741797,0.008741797,0.0,1.1217451e-12,0.0,0.0,0.09470489
40,0.001,0.008657196,0.008657196,0.0,1.7567524e-12,0.0,0.0,0.13329943
41,0.001,0.008882948,0.008882948,0.0,1.6986743e-12,0.0,0.0,0.13401043
42,0.001,0.008771732,0.008771732,0.0,1.7046775e-12,0.0,0.0,0.13543685
43,0.001,0.008539778,0.008539778,0.0,1.3059557e-12,0.0,0.0,0.10859755
44,0.001,0.008617156,0.008617156,0.0,1.1485057e-12,0.0,0.0,0.08209405
45,0.001,0.00870061,0.00870061,0.0,1.3950382e-12,0.0,0.0,0.13752131
46,0.001,0.00888354,0.00888354,0.0,1.3981278e-12,0.0,0.0,0.13093041
47,0.001,0.008823783,0.008823783,0.0,2.212424e-12,0.0,0.0,0.14316438
48,0.001,0.008552809,0.008552809,0.0,1.0248283e-12,0.0,0.0,0.12795061
49,0.001,0.0087042,0.0087042,0.0,1.6481469e-12,0.0,0.0,0.12567653
50,0.001,0.008810799,0.008810799,0.0,2.2354132e-12,0.0,0.0,0.11647222
51,0.001,0.00852053,0.00852053,0.0,1.7158036e-12,0.0,0.0,0.10107443
52,0.001,0.008736738,0.008736738,0.0,1.2815926e-12,0.0,0.0,0.11765971
53,0.001,0.008310737,0.008310737,0.0,1.7604263e-12,0.0,0.0,0.14207363
54,0.001,0.008792031,0.008792031,0.0,2.0073689e-12,0.0,0.0,0.11775706
55,0.001,0.008760506,0.008760506,0.0,1.6347803e-12,0.0,0.0,0.16920604
56,0.001,0.008579469,0.008579469,0.0,1.4415349e-12,0.0,0.0,0.06994845
57,0.001,0.008563626,0.008563626,0.0,1.2404925e-12,0.0,0.0,0.13767228
58,0.001,0.008753226,0.008753226,0.0,1.2926444e-12,0.0,0.0,0.14760154
59,0.001,0.0086876,0.0086876,0.0,1.1476561e-12,0.0,0.0,0.12098243
60,0.001,0.008795436,0.008795436,0.0,8.9981207e-13,0.0,0.0,0.113910496
61,0.001,0.008544561,0.008544561,0.0,8.670206e-13,0.0,0.0,0.11615748
62,0.001,0.0087505,0.0087505,0.0,7.921508e-13,0.0,0.0,0.16189332
63,0.001,0.008552127,0.008552127,0.0,1.2017631e-12,0.0,0.0,0.1166057
64,0.001,0.0086083505,0.0086083505,0.0,1.4048729e-12,0.0,0.0,0.10641127
65,0.001,0.00855538,0.00855538,0.0,1.5901222e-12,0.0,0.0,0.091986395
66,0.001,0.0085611,0.0085611,0.0,1.4333877e-12,0.0,0.0,0.118321724
67,0.001,0.008614364,0.008614364,0.0,1.930454e-12,0.0,0.0,0.080047905
68,0.001,0.00843617,0.00843617,0.0,1.6043591e-12,0.0,0.0,0.10710395
69,0.001,0.008398161,0.008398161,0.0,1.5398981e-12,0.0,0.0,0.16617168
70,0.001,0.008391996,0.008391996,0.0,1.5267047e-12,0.0,0.0,0.12227517
71,0.001,0.008609812,0.008609812,0.0,1.3675541e-12,0.0,0.0,0.14854698
72,0.001,0.0084682,0.0084682,0.0,2.246444e-12,0.0,0.0,0.1465585
73,0.001,0.008562166,0.008562166,0.0,1.2342929e-12,0.0,0.0,0.10225633
74,0.001,0.008164415,0.008164415,0.0,1.5388515e-12,0.0,0.0,0.06900898
75,0.001,0.008395768,0.008395768,0.0,1.6541269e-12,0.0,0.0,0.12621325
76,0.001,0.0081185335,0.0081185335,0.0,1.6848467e-12,0.0,0.0,0.1116164
77,0.001,0.008481659,0.008481659,0.0,1.5566278e-12,0.0,0.0,0.12771316
78,0.001,0.008440182,0.008440182,0.0,1.3380383e-12,0.0,0.0,0.08669946
79,0.001,0.008541678,0.008541678,0.0,1.1463971e-12,0.0,0.0,0.11049026
80,0.001,0.008443858,0.008443858,0.0,1.4656773e-12,0.0,0.0,0.16978173
81,0.001,0.008063586,0.008063586,0.0,1.5633724e-12,0.0,0.0,0.14630546
82,0.001,0.008311287,0.008311287,0.0,1.982673e-12,0.0,0.0,0.091552645
83,0.001,0.008447773,0.008447773,0.0,2.2090016e-12,0.0,0.0,0.15043099
84,0.001,0.00827374,0.00827374,0.0,1.6889345e-12,0.0,0.0,0.13546836
85,0.001,0.008371967,0.008371967,0.0,1.7884404e-12,0.0,0.0,0.11322314
86,0.001,0.00837326,0.00837326,0.0,1.6252555e-12,0.0,0.0,0.12994196
87,0.001,0.008242437,0.008242437,0.0,1.5595702e-12,0.0,0.0,0.11742396
88,0.001,0.008216872,0.008216872,0.0,1.4321356e-12,0.0,0.0,0.13896562
89,0.001,0.008317556,0.008317556,0.0,1.2866371e-12,0.0,0.0,0.09184412
90,0.001,0.008290239,0.008290239,0.0,1.9021583e-12,0.0,0.0,0.06705462
91,0.001,0.008284276,0.008284276,0.0,1.3686967e-12,0.0,0.0,0.06833784
92,0.001,0.008320566,0.008320566,0.0,1.0563425e-12,0.0,0.0,0.11633953
93,0.001,0.00818026,0.00818026,0.0,1.7195277e-12,0.0,0.0,0.16580497
94,0.001,0.0084257005,0.0084257005,0.0,1.8946752e-12,0.0,0.0,0.14791274
95,0.001,0.008170716,0.008170716,0.0,1.4947887e-12,0.0,0.0,0.07232515
96,0.001,0.0081482455,0.0081482455,0.0,9.0798154e-13,0.0,0.0,0.08225309
97,0.001,0.008164137,0.008164137,0.0,1.7465522e-12,0.0,0.0,0.12113891
98,0.001,0.007954487,0.007954487,0.0,1.5271148e-12,0.0,0.0,0.094216645
99,0.001,0.007998625,0.007998625,0.0,1.9558819e-12,0.0,0.0,0.11492767
100,0.001,0.0080946265,0.0080946265,0.0,1.1447265e-12,0.0,0.0,0.1016422
101,0.001,0.008046782,0.008046782,0.0,1.6069607e-12,0.0,0.0,0.120727725
102,0.001,0.008234414,0.008234414,0.0,1.4068868e-12,0.0,0.0,0.10421011
103,0.001,0.008139136,0.008139136,0.0,2.1583197e-12,0.0,0.0,0.11286525
104,0.001,0.0077545866,0.0077545866,0.0,9.319074e-13,0.0,0.0,0.08053873
105,0.001,0.008166254,0.008166254,0.0,9.741998e-13,0.0,0.0,0.1666552
106,0.001,0.007910994,0.007910994,0.0,1.3218893e-12,0.0,0.0,0.11146965
107,0.001,0.008252026,0.008252026,0.0,1.5726694e-12,0.0,0.0,0.14039725
108,0.001,0.007991213,0.007991213,0.0,1.3882731e-12,0.0,0.0,0.1519413
109,0.001,0.008156001,0.008156001,0.0,1.2186412e-12,0.0,0.0,0.12387238
110,0.001,0.007734711,0.007734711,0.0,1.8029303e-12,0.0,0.0,0.15360911
111,0.001,0.008146637,0.008146637,0.0,1.3631188e-12,0.0,0.0,0.11855835
112,0.001,0.007822656,0.007822656,0.0,1.5786861e-12,0.0,0.0,0.08656322
113,0.001,0.007845656,0.007845656,0.0,1.4873689e-12,0.0,0.0,0.12744248
114,0.001,0.007758009,0.007758009,0.0,1.8902393e-12,0.0,0.0,0.14673598
115,0.001,0.008008561,0.008008561,0.0,1.5984353e-12,0.0,0.0,0.10038481
116,0.001,0.007899657,0.007899657,0.0,1.4333475e-12,0.0,0.0,0.08570952
117,0.001,0.007927743,0.007927743,0.0,1.7780581e-12,0.0,0.0,0.10230857
118,0.001,0.008093796,0.008093796,0.0,1.0632669e-12,0.0,0.0,0.12395531
119,0.001,0.007989027,0.007989027,0.0,1.5975479e-12,0.0,0.0,0.10642167
120,0.001,0.007945855,0.007945855,0.0,1.5881125e-12,0.0,0.0,0.10186646
121,0.001,0.0077040065,0.0077040065,0.0,1.5999774e-12,0.0,0.0,0.09395608
122,0.001,0.007899362,0.007899362,0.0,2.0951073e-12,0.0,0.0,0.13750224
123,0.001,0.007651785,0.007651785,0.0,1.02967e-12,0.0,0.0,0.092769176
