epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
1,0.001,5.730369,0.09136795,0.014705839,20.850826,542.9022,6.4009646e-06,81.101944
2,0.001,0.1727012,0.09514221,0.0,7.7558994,0.0,0.0,3.0191133
3,0.001,0.15546225,0.09539032,0.0,6.0071926,0.0,0.0,2.585234
4,0.001,0.13275763,0.093875915,0.009598013,3.7921922,0.0,0.0,2.22821
5,0.001,0.123911306,0.092144124,0.0,3.176718,0.0,0.0,2.072038
6,0.001,0.114725426,0.089782044,0.0,2.4943373,0.0,0.0,1.8891866
7,0.001,0.10988883,0.0871253,0.0,2.276353,0.0,0.0,1.8324866
8,0.001,0.101417065,0.083533056,0.011920144,1.6691939,0.0,5.6253602e-06,1.6184801
9,0.001,0.09444265,0.081389494,0.0,1.3053163,0.0,0.0,1.5051022
10,0.001,0.08828251,0.07774584,0.0,1.053667,0.0,0.0,1.3819013
11,0.001,0.082895905,0.0743624,0.0,0.85334975,0.0,0.0,1.3018187
12,0.001,0.0788223,0.07179025,0.014478466,0.55841994,0.0,0.0,1.1409487
13,0.001,0.07281751,0.06812599,0.0,0.4691523,0.0,0.0,1.0828041
14,0.001,0.068459034,0.06518961,0.0,0.32694384,0.0,0.0,0.99007183
15,0.001,0.06363435,0.061547853,0.0,0.20865022,0.0,0.0,0.90861005
16,0.001,0.061109267,0.058002397,0.0142876245,0.1678078,0.0,2.9150588e-06,0.8559975
17,0.001,0.055535372,0.054658618,0.0,0.08767475,0.0,0.0,0.7850487
18,0.001,0.051806454,0.05128628,0.0,0.05201749,0.0,0.0,0.729151
19,0.001,0.048329078,0.048180934,0.0,0.014814765,0.0,0.0,0.6640923
20,0.001,0.045859262,0.044448905,0.013468281,0.0063533145,0.0,0.0,0.6316223
21,0.001,0.042022936,0.04201195,0.0,0.0010985254,0.0,0.0,0.6039053
22,0.001,0.038665317,0.038665317,0.0,9.666415e-13,0.0,0.0,0.58706975
23,0.001,0.03602342,0.03602342,0.0,1.0556294e-12,0.0,0.0,0.56917894
24,0.001,0.03446147,0.033436365,0.010250916,7.369707e-13,0.0,1.1723658e-06,0.5489699
25,0.001,0.030873014,0.030873014,0.0,8.685255e-13,0.0,0.0,0.5294928
26,0.001,0.028557967,0.028557967,0.0,8.3697285e-13,0.0,0.0,0.51157963
27,0.001,0.026508568,0.025418092,0.01090475,1.2875801e-12,0.0,0.0,0.4776703
28,0.001,0.023321046,0.023321046,0.0,1.1442877e-12,0.0,0.0,0.4527655
29,0.001,0.021440705,0.021440705,0.0,9.796694e-13,0.0,0.0,0.43099514
30,0.001,0.019561976,0.019561976,0.0,1.014485e-12,0.0,0.0,0.40684575
31,0.001,0.018672112,0.017295314,0.013767868,6.64736e-13,0.0,1.2305924e-06,0.36833766
32,0.001,0.016013453,0.016013453,0.0,9.7247e-13,0.0,0.0,0.35250643
33,0.001,0.014461298,0.014461298,0.0,7.129909e-13,0.0,0.0,0.3109166
34,0.001,0.013156101,0.013156101,0.0,1.3937288e-12,0.0,0.0,0.27951494
35,0.001,0.013052868,0.012003647,0.010492197,1.3672224e-12,0.0,0.0,0.24809232
36,0.001,0.011117881,0.011117881,0.0,1.324455e-12,0.0,0.0,0.2118926
37,0.001,0.0101977885,0.0101977885,0.0,8.737303e-13,0.0,0.0,0.18640815
38,0.001,0.009809234,0.009809234,0.0,7.50218e-13,0.0,0.0,0.15092014
39,0.001,0.11284599,0.009131023,0.012830383,1.5107376e-12,10.24319,3.8923263e-06,13.146707
40,0.001,0.028677046,0.010282879,0.0,1.839417,0.0,0.0,1.9966233
41,0.001,0.06186107,0.011108578,0.0,5.075249,0.0,0.0,3.2538466
42,0.001,0.03060671,0.012684275,0.0,1.7922437,0.0,0.0,1.9096668
43,0.001,0.016985226,0.013390864,0.01485693,0.21086702,0.0,0.0,0.49551675
44,0.001,0.014100494,0.013166298,0.0,0.09341957,0.0,0.0,0.41714093
45,0.001,0.012594309,0.012294695,0.0,0.029961398,0.0,0.0,0.32932916
46,0.001,0.011956619,0.011892721,0.0,0.006389765,0.0,0.0,0.25602263
47,0.001,0.012380206,0.011111508,0.012573893,0.0011287048,0.0,2.088098e-06,0.21274234
48,0.001,0.010961373,0.010961325,0.0,4.8810475e-06,0.0,0.0,0.1928114
49,0.001,0.01060409,0.01060409,0.0,1.0817187e-12,0.0,0.0,0.18141817
50,0.001,0.010350589,0.010350589,0.0,1.2256856e-12,0.0,0.0,0.17920889
51,0.001,0.011407091,0.0099877855,0.01419306,9.492718e-13,0.0,0.0,0.1442974
52,0.001,0.009919707,0.009919707,0.0,1.2169504e-12,0.0,0.0,0.13382567
53,0.001,0.00968576,0.00968576,0.0,9.970264e-13,0.0,0.0,0.12609936
54,0.001,0.010552684,0.009370045,0.011826187,1.004501e-12,0.0,2.0674645e-06,0.12568663
55,0.001,0.009488887,0.009488887,0.0,1.5738579e-12,0.0,0.0,0.11186206
56,0.001,0.00938105,0.00938105,0.0,9.156683e-13,0.0,0.0,0.14864875
57,0.001,0.009286845,0.009286845,0.0,9.545077e-13,0.0,0.0,0.10483515
58,0.001,0.0104351435,0.008982908,0.014522353,1.0121405e-12,0.0,0.0,0.08897331
59,0.001,0.009054308,0.009054308,0.0,1.1018991e-12,0.0,0.0,0.10142075
60,0.001,0.008985611,0.008985611,0.0,1.1824446e-12,0.0,0.0,0.13286261
61,0.001,0.0090851225,0.0090851225,0.0,2.5461163e-12,0.0,0.0,0.10420823
62,0.001,0.0105322,0.009023298,0.0150888115,1.852804e-12,0.0,1.967492e-06,0.10389794
63,0.001,0.008869391,0.008869391,0.0,1.1014215e-12,0.0,0.0,0.0815467
64,0.001,0.009049568,0.009049568,0.0,1.9011316e-12,0.0,0.0,0.07434936
65,0.001,0.009105137,0.009105137,0.0,6.562406e-13,0.0,0.0,0.1114003
66,0.001,0.010163108,0.008911129,0.012519781,1.2309859e-12,0.0,0.0,0.100467116
67,0.001,0.00869632,0.00869632,0.0,1.0573184e-12,0.0,0.0,0.10058869
68,0.001,0.009050857,0.009050857,0.0,1.3854039e-12,0.0,0.0,0.08151713
69,0.001,0.009017915,0.009017915,0.0,1.2460612e-12,0.0,0.0,0.07699828
70,0.001,0.010196672,0.008996006,0.012006472,1.5040955e-12,0.0,1.8588833e-06,0.06665021
71,0.001,0.008958178,0.008958178,0.0,1.2525719e-12,0.0,0.0,0.121966906
72,0.001,0.008967243,0.008967243,0.0,1.2944379e-12,0.0,0.0,0.121824875
73,0.001,0.0089832805,0.0089832805,0.0,1.1739661e-12,0.0,0.0,0.113835864
