epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
1,0.001,0.22575903,0.21452068,0.07526272,0.36840835,0.0,0.0002799848,3.4661765
2,0.001,0.04824223,0.048218098,0.0,0.0021497766,0.0,2.6329517e-05,0.39706755
3,0.001,0.05498368,0.05498111,0.0,7.561406e-09,0.0,2.5711743e-05,0.44026753
4,0.001,0.055343077,0.04911294,0.0622174,3.804301e-13,0.0,8.399389e-05,0.3044839
5,0.001,0.0473807,0.04737363,0.0,3.4380512e-09,0.0,7.069858e-05,0.21894926
6,0.001,0.047344957,0.047333524,0.0,0.0002286184,0.0,9.139961e-05,0.37006074
7,0.001,0.045423135,0.045396365,0.0,0.00023643285,0.0,0.00024405106,0.2970879
8,0.001,0.05167263,0.045076568,0.06576766,0.00029855708,0.0,0.00016309701,0.22647326
9,0.001,0.04554479,0.04550928,0.0,0.0015034857,0.0,0.00020473094,0.17748648
10,0.001,0.042912606,0.04287455,0.0,0.0013617602,0.0,0.00024446615,0.21269006
11,0.001,0.043039564,0.042959552,0.0,0.0016516112,0.0,0.0006349575,0.25876558
12,0.001,0.047607698,0.043134175,0.044128973,0.0020402276,0.0,0.00040222626,0.3124469
13,0.001,0.04275656,0.042699583,0.0,0.0010772339,0.0,0.00046208734,0.3581308
14,0.001,0.04204621,0.04192362,0.0,0.0006957387,0.0,0.0011563749,0.31408614
15,0.001,0.04095359,0.040874824,0.0,0.0006534998,0.0,0.00072225963,0.25076425
16,0.001,0.045647446,0.039866082,0.056900535,0.0008480944,0.0,0.0008282994,0.30736864
17,0.001,0.040577684,0.040353183,0.0,0.00075947185,0.0,0.0021690438,0.3068434
18,0.001,0.03780555,0.037649106,0.0,0.0036177146,0.0,0.0012026505,0.31816182
19,0.001,0.03764573,0.03750307,0.0,3.1452575e-13,0.0,0.0014266017,0.18016116
20,0.001,0.040894628,0.035677128,0.0502444,0.0031380313,0.0,0.0016167252,0.30059907
21,0.001,0.036044918,0.035618044,0.0,0.0021063418,0.0,0.004058101,0.29341748
22,0.001,0.034605823,0.034377154,0.0,0.00065777014,0.0,0.0022209315,0.3328959
23,0.001,0.033072885,0.032799933,0.0,0.00052884663,0.0,0.0026766246,0.32828507
24,0.001,0.036418393,0.03177852,0.040075526,0.00061001244,0.0,0.0062621753,0.28411925
25,0.001,0.030690534,0.030294044,0.0,0.0013048806,0.0,0.0038344017,0.33683756
26,0.001,0.029270254,0.02844237,0.0,0.040979598,0.0,0.0041809105,0.32329485
27,0.001,0.03237824,0.027700134,0.028742127,0.078616686,0.0,0.0101773,0.32824925
28,0.001,0.027677106,0.026993612,0.0,0.016504409,0.0,0.0051845117,0.2460838
29,0.001,0.029227598,0.026446028,0.0,0.21578002,0.0,0.0062376936,0.3599381
30,0.001,0.02901176,0.026177434,0.0,0.22387686,0.0,0.005955605,0.26121747
31,0.001,0.030671848,0.025661413,0.024020847,0.12851502,0.0,0.013232004,0.33654103
32,0.001,0.026946958,0.025706897,0.0,0.055032466,0.0,0.006897355,0.35247904
33,0.001,0.026040051,0.02443863,0.0,0.08901044,0.0,0.0071131694,0.21437798
34,0.001,0.02737372,0.024732914,0.0,0.101173,0.0,0.016290776,0.30991217
35,0.001,0.030592868,0.026087055,0.029262193,0.078676976,0.0,0.007928228,0.3944345
36,0.001,0.02511596,0.023464004,0.0,0.07394154,0.0,0.009125416,0.30974212
37,0.001,0.026480047,0.023953931,0.0,0.071975045,0.0,0.018063657,0.26133326
38,0.001,0.026193261,0.023515575,0.0,0.1687231,0.0,0.00990455,0.37078273
39,0.001,0.026899802,0.023583736,0.023435347,0.0038579816,0.0,0.009339536,0.378437
40,0.001,0.026642093,0.023724671,0.0,0.18128484,0.0,0.011045722,0.3564316
41,0.001,0.026450863,0.022847433,0.0,0.14263968,0.0,0.021770349,0.38682753
42,0.001,0.025386691,0.024193283,0.0,0.023418702,0.0,0.009592248,0.3986284
43,0.001,0.026761273,0.022330841,0.02686933,0.050479617,0.0,0.012387026,0.27687743
44,0.001,0.025511103,0.022651978,0.0,0.052161343,0.0,0.023375126,0.36714682
45,0.001,0.02578008,0.023513835,0.0,0.08797245,0.0,0.013865201,0.48845658
46,0.001,0.026234329,0.024484847,0.0,0.06989291,0.0,0.010505508,0.37175477
